Fri Jun 27 11:15:46 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill 
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	MIN_SCORE = 200
	TOP_HITS = 5

-subgrids
	contig1	contig2	  points	cells
       207          1          1        443       3984        201
       208          1          1        449        498        251
       209          1          1        449        590        278
       210          1          1        449        788        276
       211          1          1        449       1433        273
       212          1          1        449       1550        235
       213          1          1        449       2383        269
       214          1          1        457       4538        649
       215          1          1        469       3450        208
       216          1          1        469       4620        350
       217          1          1        474        495        571
       218          1          1        477        646        218
       219          1          1        477        853        209
       220          1          1        477        943        310
       221          1          1        477       1128        207
       222          1          1        477       1394        268
       223          1          1        477       1497        272
       224          1          1        477       1693        212
       225          1          1        477       2388        241
       226          1          1        477       2597        220
       227          1          1        477       3440        383
       228          1          1        477       4441        224
       229          1          1        477       5543        262
       230          1          1        477       5558        321
       231          1          1        480        716        217
       232          1          1        480        779        202
       233          1          1        480       1395        233
       234          1          1        480       1935        213
       235          1          1        480       2864        221
       236          1          1        480       3950        229
       237          1          1        480       4606        218
       238          1          1        480       5332        209
       239          1          1        480       5740        226
       240          1          1        484       3943        211
       241          1          1        497        808        661
       242          1          1        497       4025        668
       243          1          1        498        590        330
       244          1          1        498        788        324
       245          1          1        498       1433        399
       246          1          1        498       1550        263
       247          1          1        498       2383        353
       248          1          1        498       5246        263
       249          1          1        499       2046        627
       250          1          1        499       4125        610
       251          1          1        499       4759        593
       252          1          1        499       4971        627
       253          1          1        501        739        224
       254          1          1        501       3158        209
       255          1          1        501       3438        423
       256          1          1        501       3737        225
       257          1          1        515        696        215
       258          1          1        515        793        248
       259          1          1        515        813        269
       260          1          1        515       1029        395
       261          1          1        515       1058        407
       262          1          1        515       2629        219
       263          1          1        515       4305        593
       264          1          1        515       4326        458
       265          1          1        515       4345        473
       266          1          1        515       4466        679
       267          1          1        524       3259        449
       268          1          1        538       2524        216
       269          1          1        538       3603        208
       270          1          1        538       5778        253
       271          1          1        541       1810        204
       272          1          1        541       5513        210
       273          1          1        551       1731        228
       274          1          1        551       5443        200
       275          1          1        552       5142        221
       276          1          1        556       2244        213
       277          1          1        559       3024        262
       278          1          1        559       5300        271
       279          1          1        561       1432        224
       280          1          1        583       2856        291
       281          1          1        583       3444        219
       282          1          1        589       4102        237
       283          1          1        590        788        372
       284          1          1        590       1433        333
       285          1          1        590       1550        265
       286          1          1        590       2383        314
       287          1          1        590       5246        263
       288          1          1        601       3336        283
       289          1          1        601       3573        344
       290          1          1        601       4260        358
       291          1          1        602       1206        293
       292          1          1        602       2239        255
       293          1          1        602       4229        276
       294          1          1        602       4924        259
       295          1          1        602       5149        209
       296          1          1        602       5320        264
       297          1          1        609       1366        240
       298          1          1        609       1408        251
       299          1          1        609       2454        291
       300          1          1        609       3708        367
       301          1          1        610        624        216
       302          1          1        611        623       2415
       303          1          1        611        833        229
       304          1          1        616       1668        219
       305          1          1        616       2146        236
       306          1          1        616       4808        229
       307          1          1        621       2428        309
       308          1          1        623        833        232
